    0.62500E-01   0.68784E-01  -0.22386E-01  -0.20773E-03
    0.18750E+00   0.16816E+00   0.99505E-01   0.24499E-03
    0.31250E+00  -0.93721E-01   0.41112E-01   0.19831E-04
    0.43750E+00  -0.10154E+00   0.14907E-01   0.20297E-04
    0.56250E+00  -0.87478E-01   0.11045E-02  -0.11046E-04
    0.68750E+00  -0.51179E-01  -0.47045E-02  -0.11912E-04
    0.81250E+00  -0.23604E-01  -0.51327E-02  -0.10466E-04
    0.93750E+00  -0.60307E-02  -0.37597E-02  -0.62561E-05
    0.10625E+01   0.19779E-02  -0.20806E-02  -0.29697E-05
    0.11875E+01   0.41997E-02  -0.83521E-03  -0.87986E-06
    0.13125E+01   0.36121E-02  -0.12639E-03   0.91101E-07
    0.14375E+01   0.22032E-02   0.16783E-03   0.36807E-06
    0.15625E+01   0.93377E-03   0.22179E-03   0.30655E-06
    0.16875E+01   0.10876E-03   0.17241E-03   0.14286E-06
    0.18125E+01  -0.30036E-03   0.10114E-03  -0.70120E-08
    0.19375E+01  -0.43274E-03   0.44088E-04  -0.10537E-06
    0.20625E+01  -0.42440E-03   0.98614E-05  -0.15468E-06
    0.21875E+01  -0.36795E-03  -0.55291E-05  -0.17102E-06
    0.23125E+01  -0.31170E-03  -0.93611E-05  -0.17042E-06
    0.24375E+01  -0.27296E-03  -0.78413E-05  -0.16390E-06
    0.25625E+01  -0.25255E-03  -0.48655E-05  -0.15728E-06
    0.26875E+01  -0.24507E-03  -0.22884E-05  -0.15267E-06
    0.28125E+01  -0.24457E-03  -0.65435E-06  -0.15022E-06
    0.29375E+01  -0.24674E-03   0.13313E-06  -0.14930E-06
    0.30625E+01  -0.24919E-03   0.37143E-06  -0.14922E-06
    0.31875E+01  -0.25099E-03   0.33800E-06  -0.14947E-06
    0.33125E+01  -0.25199E-03   0.21708E-06  -0.14976E-06
    0.34375E+01  -0.25240E-03   0.10217E-06  -0.14997E-06
    0.35625E+01  -0.25247E-03   0.25056E-07  -0.15009E-06
    0.36875E+01  -0.25239E-03  -0.14515E-07  -0.15014E-06
    0.38125E+01  -0.25228E-03  -0.28290E-07  -0.15015E-06
    0.39375E+01  -0.25220E-03  -0.28503E-07  -0.15014E-06
    0.40625E+01  -0.25215E-03  -0.23768E-07  -0.15013E-06
    0.41875E+01  -0.25213E-03  -0.18726E-07  -0.15012E-06
    0.43125E+01  -0.25212E-03  -0.15145E-07  -0.15011E-06
    0.44375E+01  -0.25213E-03  -0.13223E-07  -0.15011E-06
    0.45625E+01  -0.25216E-03  -0.12423E-07  -0.15007E-06
    0.46875E+01  -0.25188E-03  -0.12479E-07  -0.15027E-06
    0.48125E+01  -0.25300E-03  -0.12397E-07  -0.14970E-06
    0.49375E+01  -0.25149E-03  -0.12061E-07  -0.15039E-06
